Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Ющенко,Орхип,Альбертович,Чоловік,11.07.1952,Бібліограф,хутір Донецьк,"парк Жевахова, буд. 8 кв. 562, Пирятин, 73964",413-95-58,vlasiukalevtyn@example.net
Андрієвич,Мілена,Демʼянівна,Жінка,16.08.1964,Няня,місто Пологи ,"парк Супутників, буд. 55 кв. 2, Макіївка, 31095",461-75-62,oleksa93@example.org
Шеремета,Ілля,Степанович,Чоловік,07.11.1952,Музичний редактор,селище Першотравенськ,"сквер Успенський, буд. 6 кв. 66, Голубівка, 19288",417-40-99,amaliia65@example.net
Гайдай,Мілена,Панасівна,Жінка,22.05.2007,Кухар,місто Красилів,"набережна Агрономічний, буд. 152 кв. 21, Гайворон, 59728",048 929 10 78,veniiamyn10@example.com
Опанасенко,Семен,Йосипович,Чоловік,11.05.1990,Кур'єр,місто Мерефа,"сквер 8-ма Лінія Дачі Ковалевського, буд. 7, Дубляни, 49733",+380 13 245-74-30,ievhenkozachenko@example.com
Жук,Степан,Яківович,Чоловік,04.05.1985,Маркетолог,селище Овруч,"сквер Ангарська, буд. 13, Старокостянтинів, 51069",+380 66 195 47 49,wskyba@example.com
Джунь,Людмила,Степанівна,Жінка,25.08.1942,Складальник,селище Зборів,"набережна Академіка Гаркавого, буд. 112, Коломия, 92763",092 984 04 85,pavloievtushenko@example.org
Дробʼязко,Кирило,Веніяминович,Чоловік,25.03.1960,Клоун,селище Татарбунари,"вулиця Рибальський, буд. 6 кв. 14, Привілля, 97764",+380 63 289 57 06,ierchenkopetro@example.com
Редько,Єва,Зорянівна,Жінка,17.07.1986,Географ,селище Чугуїв,"сквер Проїзний 3-й, буд. 7, Маріуполь, 91806",026 458-19-72,oleksa79@example.org
Венгринович,Лукʼян,Віталійович,Чоловік,16.10.1983,Паралегал,селище Коростишів,"шосе Князівський, буд. 5, Олешки, 47603",+380 (15) 180-27-00,doberemko@example.com
Лагода,Пріска,Олесьівна,Жінка,24.01.1942,Співак,село Яремче,"вулиця Парковий, буд. 81 кв. 537, Олександрія, 77522",620 39 16,ivakhnii@example.net
Товстоліс,Любов,Теодорівна,Жінка,24.07.1946,Петрограф,хутір Хмільник,"проспект Уманська, буд. 7 кв. 35, Коростишів, 67356",037 017-77-94,aarontovstolis@example.org
Гаврилець,Алла,Євгенівна,Жінка,08.08.1960,Бібліограф,місто Зіньків,"вулиця Олександра Невського 3-й, буд. 6 кв. 8, Бахчисарай, 44946",+380 94 587-43-20,hryhorii17@example.com
Чалий,Георгій,Августинович,Чоловік,13.12.1991,Режисер,місто Костянтинівка,"проспект Гвардійська, буд. 76 кв. 74, Лубни, 14782",+380 (60) 029-23-91,ttiahnybok@example.org
Дробаха,Демʼян,Григорійович,Чоловік,27.07.2004,Клавішник,село Городня,"проспект Кощового отамана, буд. 133 кв. 25, П'ятихатки, 36375",075 722 40 69,tsymbalteodor@example.com
Рубець,Мартин,Азарович,Чоловік,27.03.1979,Інженер,хутір Кам'янка-Дніпровська,"вулиця Василя Кандинського, буд. 50, Ходорів, 76756",095 254-46-69,ndubyna@example.net
Іваненко,Камілла,Стефанівна,Жінка,02.07.1992,Кінолог,селище Красноград,"узвіз Чорноморський, буд. 4, Довжанськ, 45887",+380 25 667-66-13,vasyl29@example.com
Уманець,Леопольд,Орхипович,Чоловік,29.02.1952,Євнух,хутір Подільськ,"провулок Катерининська, буд. 729 кв. 86, Молодогвардійськ, 87938",+380 (60) 462-51-76,stusstefan@example.net
Захаренко,Тереза,Пилипівна,Жінка,01.01.1977,Живописець,місто Перечин,"узвіз Зелена, буд. 257, Вознесенівка, 78016",+380 (42) 434-73-04,oreststus@example.org
Савенко,Ярина,Давидівна,Жінка,22.09.1988,Професор,хутір Амвросіївка,"шосе 6-та Лінія Марії Демченко, буд. 6, Олешки, 87444",048 271-58-95,danbarannyk@example.org
Джунь,Варфоломій,Святославович,Чоловік,25.08.1942,Режисер,селище Бровари,"сквер Авіаційна, буд. 3, Мирноград, 89485",+380 87 237-64-37,tsymbalopanas@example.org
Чумак,Георгій,Климентович,Чоловік,24.01.1958,Піаніст,місто Попасна,"узвіз Катерининська, буд. 414, Сєвєродонецьк, 66185",+380 72 379-14-78,klyment16@example.org
Затовканюк,Ліза,Максимівна,Жінка,19.10.1981,Палеонтолог,селище Красилів,"набережна Лінія 27-ма, буд. 4 кв. 9, Березне, 36350",+380 74 553 41 64,hbarabash@example.net
Вдовенко,Мілена,Йосипівна,Жінка,06.03.1940,Перекладач,селище Довжанськ,"набережна Демократична, буд. 17, Красилів, 87015",107 72 09,kostiantynshvaika@example.net
Опанасенко,Омелян,Демидович,Чоловік,20.07.1988,Професор,місто Старий Самбір,"площа Кавунова, буд. 396, Миронівка, 77409",+380 (55) 178-69-57,hryhoriisirko@example.com
Христич,Надія,Парменівна,Жінка,13.11.1940,Гицель,село Боково-Хрустальне,"шосе Східний 2-й, буд. 1, Фастів, 83222",+380 (65) 373-24-82,iefremholyk@example.net
Данько,Сніжана,Петроівна,Жінка,11.11.1973,Будник,село Роздільна,"вулиця Кипарисний 2-й, буд. 630, Ківерці, 44284",097 009 61 33,viktoriiaturkalo@example.com
Демиденко,Амалія,Тимофіївна,Жінка,14.02.1952,Краєзнавець,місто Мерефа,"вулиця 3-тя Лінія 6-й ст. Люстдорфської дороги, буд. 89, Косів, 79465",082 86 24,tsushkomakar@example.com
Андрощук,Амалія,Глібівна,Жінка,31.12.1947,Краєзнавець,місто Петрово-Красносілля,"узвіз Пролетарський 3-й, буд. 22 кв. 44, Токмак, 36840",+380 48 640-29-20,serhiishchyrytsia@example.net
Сацюк,Анастасія,Михайлоівна,Жінка,29.03.1986,Модельєр,місто Барвінкове,"сквер 7-ма Лінія 6-й ст. Люстдорфської дороги, буд. 1 кв. 50, Ходорів, 41356",999-69-00,iarynaovsiienko@example.org
Назаренко,Ярема,Орестович,Чоловік,18.12.2005,Біолог,селище Узин,"площа Новгородський 2-й, буд. 592 кв. 482, Армянськ, 72843",+380 45 825 04 09,myronvertyporokh@example.org
Данильчук,Альбіна,Антонівна,Жінка,22.07.1956,Маркетолог,місто Сулимівка (Слов'янськ),"площа Кузнечна, буд. 115 кв. 6, Амвросіївка, 02860",706 84 09,ievhen16@example.com
Бабак,Емілія,Вадимівна,Жінка,01.06.2004,Нотаріус,село Судак ,"провулок Лінія 48-ма, буд. 12 кв. 8, Чернівці, 70843",021 249 29 07,kharchenkosvitlana@example.net
Александренко,Вікторія,Геннадіївна,Жінка,22.10.1944,Піаніст,хутір Горохів,"сквер Бузковий 2-й, буд. 8 кв. 6, Сарни, 39810",+380 (91) 432-70-22,piddubnyibohodar@example.org
Ященко,Аарон,Євгенович,Чоловік,02.02.1956,Доцент,село Гола Пристань,"проспект Шостої 2-й, буд. 80, Ізяслав, 49903",727-43-51,leonivashchenko@example.net
Єсипенко,Богдан,Францович,Чоловік,23.06.1965,Бізнесмен,місто Великі Мости,"набережна Ніжинська, буд. 59, Таврійськ, 67279",015 030-39-89,iefrembabych@example.org
Царенко,Олекса,Назарович,Чоловік,09.09.1949,Електротехнік,село Чугуїв,"шосе Псковський, буд. 25, Зміїв, 51553",+380 65 697-20-15,albertabramenko@example.com
Чабан,Леопольд,Демʼянович,Чоловік,25.02.1978,Ріелтор,селище Ніжин,"сквер Вчительської, 2-й, буд. 11 кв. 7, Токмак, 69460",284-86-37,khoma84@example.net
Дубас,Михайлина,Августинівна,Жінка,05.05.1975,Гірничий інженер,село Калуш,"площа Підйомний, буд. 30 кв. 2, Ананьїв, 71490",+380 88 742 50 16,emiliia87@example.org
Романчук,Людмила,Альбертівна,Жінка,28.09.1977,Прокурор,селище Барвінкове,"вулиця Лінія 52-га, буд. 47, Білопілля, 53285",+380 45 094 08 54,albinamazepa@example.net
Андрейко,Ліза,Іванівна,Жінка,28.04.1943,Реабілітолог,селище Підгайці,"провулок Студентський 2-й, буд. 353, Красногорівка, 03498",+380 15 301-22-55,lukian68@example.net
Баранник,Гаврило,Борисович,Чоловік,28.11.1963,Паблік рилейшнз,село Дубляни,"проспект Чорноморський 10-й, буд. 0 кв. 4, Берислав, 63191",627-42-15,zvernydub@example.com
Колесниченко,Юстина,Данівна,Жінка,08.08.1983,Реабілітолог,місто Корець,"набережна Радіальний, буд. 89 кв. 1, Вишгород, 77009",696 35 85,maksymmoskal@example.com
Непорожній,Ганна,Віталіївна,Жінка,16.06.1954,Географ,хутір Золочів,"парк Ляпідевського, буд. 552, Вознесенівка, 57951",685 99 53,skorykpanteleimon@example.net
Каденюк,Климент,Соломонович,Чоловік,12.01.1959,Гицель,хутір Старобільськ,"сквер 21-й км Старокиївської дороги, буд. 18 кв. 427, Угнів, 13912",257-84-96,mykhailyna59@example.com
Філіпенко,Гліб,Мирославович,Чоловік,07.02.1995,Науковець,село Федорівка,"набережна Дубова, буд. 614 кв. 35, Красноград, 73242",873 13 17,petro76@example.com
Шморгун,Любов,Захарівна,Жінка,07.04.1997,Випробувач,село Тульчин,"вулиця Контрадмірала Луніна, буд. 059 кв. 38, Хрестівка, 98376",+380 23 558-17-32,albertzhuk@example.com
Шиян,Микита,Панасович,Чоловік,12.08.1950,Ветеринар,хутір Білогірськ,"вулиця Пересипська 3-тя, буд. 78 кв. 9, Хрустальний, 88022",092 277 70 75,marusiavdovenko@example.com
Кармалюк,Алла,Панасівна,Жінка,29.06.1958,Конструктор,село Олександрія,"сквер Василя Кандинського 5-й, буд. 41, Олевськ, 09640",715 17 46,ishchakihnat@example.org
Євдокименко,Алевтин,Леонтійович,Чоловік,18.09.1976,Кінолог,селище Путивль,"набережна Офіцерський 2-й, буд. 27 кв. 6, Немирів, 95436",060 862-82-22,veresielysei@example.org
Колесниченко,Богдан,Богданович,Чоловік,01.10.1963,Промисловець,селище Новодністровськ,"парк Гімназична, буд. 4 кв. 40, Алмазна, 66429",658 27 74,uieresko@example.org
Демʼяненко,Василина,Орхипівна,Жінка,12.05.2006,Хореограф,місто Сарни,"шосе Дідріхсона, буд. 68 кв. 894, Харцизьк, 87407",+380 14 920-62-60,kfartushniak@example.com
Шамрай,Теодор,Вадимович,Чоловік,27.07.1972,Гінеколог,хутір Гадяч,"набережна В’ячеслава Чорновола, буд. 643 кв. 170, Гуляйполе, 23211",+380 (01) 719-83-12,iereskovasylyna@example.com
Охримович,Олег,Францович,Чоловік,31.12.2003,Секретар,місто Новоукраїнка,"площа 3-тя Лінія 6-й ст. Люстдорфської дороги, буд. 66, Хрестівка, 73981",427 00 53,zasenkoomelian@example.org
Гречко,Аліна,Маркоівна,Жінка,17.12.1963,Електромонтер,село Бучач,"площа Локальна, буд. 3, Сніжне, 13751",117 33 75,sviatoslava96@example.org
Рябченко,Емілія,Макарівна,Жінка,03.11.2007,Складальник,селище Буча,"площа Панаса Мирного, буд. 61, Радивилів, 80756",+380 15 541 85 05,haidamakavenedykt@example.com
Алексеєнко,Амалія,Болеславівна,Жінка,26.06.1966,Гінеколог,селище Камінь-Каширський,"провулок Івана Франка, буд. 98 кв. 16, Баранівка, 75680",+380 (88) 646-08-95,rdarahan@example.com
Гоголь,Данна,Хомївна,Жінка,01.11.1939,Петрограф,село Виноградів,"сквер Заводська 2-га, буд. 5 кв. 2, Підгайці, 22257",+380 (05) 220-70-30,ihrechko@example.com
Туркало,Онисим,Прохірович,Чоловік,18.12.1960,Історик,хутір Андрушівка,"шосе Бодаревського, буд. 9, Вараш, 26935",+380 92 228 60 32,olhababarychenko@example.net
Дутка,Гліб,Варфоломійович,Чоловік,01.04.2008,Архітектор,місто Перечин,"вулиця Шишкіна, буд. 013, Підгородне, 78519",021 854 00 16,holoborodkobohdan@example.org
Забіла,Василь,Святославович,Чоловік,12.11.1994,Паблік рилейшнз,селище Чуднів,"сквер Леваневського, буд. 11 кв. 300, Мирноград, 24462",570 45 03,mykytanehoda@example.net
Овчаренко,Володимир,Ілляович,Чоловік,26.05.1978,Педагог,місто Сєвєродонецьк,"набережна Рачкова, буд. 314 кв. 041, Чорнобиль, 95024",+380 97 311-31-26,amaliiastelmakh@example.org
Базилевич,Едуард,Артемович,Чоловік,22.11.1985,Композитор,хутір Шахтарськ,"набережна 3-тя Суворовська, буд. 200, Хрустальний, 30886",+380 93 353-68-49,virashapoval@example.com
Тарасенко,Єва,Теодорівна,Жінка,18.12.1965,Сценарист,селище Жданівка,"парк Прорізна, буд. 1 кв. 1, Олевськ, 67717",064 834 30 51,ilchenkoleon@example.com
Опанасенко,Лілія,Давидівна,Жінка,09.12.1957,Актор,хутір Вугледар,"набережна 15-та Суворовська, буд. 932, Богодухів, 74141",093 884-08-11,zabilaonysym@example.net
Андрусенко,Андрій,Єфремович,Чоловік,14.10.1973,Клоун,селище Золоте,"парк Дальній, буд. 5 кв. 810, Середина-Буда, 36566",017 912 44 36,matviienkoalbina@example.org
Ємець,Богуслав,Омелянович,Чоловік,22.09.1958,Адвокат,хутір Болград,"набережна Житомирський 4-й, буд. 067 кв. 2, Миколаївка , 58444",+380 45 538 54 26,nosachenkoanastasiia@example.net
Ляшко,Омелян,Олександрович,Чоловік,18.12.1988,Локсмайстер,хутір Новгород-Сіверський,"вулиця Паустовського, буд. 44 кв. 203, Лиман , 77299",+380 02 479-39-53,vkorsun@example.org
Жученко,Франц,Леонович,Чоловік,13.11.2002,Доцент,село Апостолове,"провулок 4-та Лінія Марії Демченко, буд. 3, Ізяслав, 34484",+380 (57) 447-95-30,ruslan70@example.net
Єфименко,Григорій,Григорійович,Чоловік,24.09.1968,Фольклорист,село Красноперекопськ,"провулок Хімічний 1-й, буд. 07 кв. 78, Сніжне, 01190",068 204 64 42,ihor41@example.net
Притула,Володимира,Яремївна,Жінка,17.11.2002,Адвокат,село Біляївка,"вулиця Агрономічна, буд. 8, Жидачів, 51198",+380 78 761-09-92,albert96@example.net
Титаренко,Едита,Хомївна,Жінка,20.12.1978,Письменник,місто Запоріжжя,"сквер Вокзальний, буд. 95, Трускавець, 87399",072 869-60-47,arkadiibaran@example.org
Зінченко,Богдан,Вʼячеславович,Чоловік,07.10.1998,Режисер,селище Броди,"шосе Івасюка Володимира, буд. 565 кв. 72, Новоселиця, 51974",072 889-49-83,maksymavramenko@example.net
Сімашкевич,Христина,Кирилоівна,Жінка,12.06.1939,Соціолог,село Білозерське,"проспект Басейний 3-й, буд. 89 кв. 3, Золоте, 59098",+380 70 107-91-83,ruslan27@example.net
Кибкало,Любов,Тимофіївна,Жінка,07.04.1966,Астрофізик,хутір Почаїв,"шосе Паркова, буд. 7 кв. 60, Одеса, 78940",+380 80 987-38-12,babiiroman@example.org
Бабак,Тетяна,Олегівна,Жінка,01.12.1968,Кушнір,місто Новомосковськ,"сквер Магнітогорська, буд. 48, Сторожинець, 07414",712-13-85,dubynaheorhii@example.net
Андрійчук,Одарка,Микитївна,Жінка,03.11.1951,Локсмайстер,хутір Рахів,"площа Ланжеронівський узвіз, буд. 832, Бобровиця, 25844",989 67 13,vanchenkomarko@example.com
Шаповал,Тетяна,Веніяминівна,Жінка,17.04.1973,Провізор,місто Рівне,"площа Думська, буд. 0 кв. 8, Теребовля, 97883",092 573-26-54,zynovii02@example.org
Іщенко,Богдан,Єфремович,Чоловік,22.11.1940,Бізнесмен,селище Барвінкове,"вулиця Пассіонарії, буд. 466 кв. 2, Перещепине, 50972",083 518-50-55,oleksa81@example.com
Ткаченко,Данило,Микитаович,Чоловік,14.05.1960,Ветеринар,село Бібрка,"площа Геологічна, буд. 031 кв. 3, Арциз, 09834",728 57 79,liliia41@example.net
Бабариченко,Антон,Лукʼянович,Чоловік,06.03.1969,Музичний редактор,село Привілля,"вулиця 2-га Лінія 6-й ст. Люстдорфської дороги, буд. 808, Барвінкове, 36021",070 492 63 19,bievtushok@example.org
Штокало,Дарина,Максимівна,Жінка,01.08.1984,Редактор,місто Довжанськ,"сквер 4-та Лінія 6-й ст. Люстдорфської дороги, буд. 095, Ровеньки, 11765",+380 (32) 051-22-11,nbarabash@example.com
Алексюк,Володимир,Богуславович,Чоловік,25.06.1996,Машиніст,хутір Кременчук,"площа Миколи Боровського, буд. 1 кв. 2, Гадяч, 38532",729-81-28,zakhar59@example.com
Базилевський,Ольга,Романівна,Жінка,04.01.1985,Провізор,селище Інкерман,"вулиця Розкидайлівська, буд. 2 кв. 556, Берислав, 98111",333 91 92,bohuslavtytarenko@example.org
Абрагамовський,Михайлина,Веніяминівна,Жінка,24.06.1948,Програміст,селище Полтава,"проспект Василя Симоненка, буд. 142, Новий Калинів, 48352",767 57 67,zhuravelalbert@example.net
Романець,Наталія,Гордіївна,Жінка,09.05.1971,Машиніст,село Сторожинець,"шосе Карпатська, буд. 6, Тростянець, 73491",+380 (76) 554-24-03,prokhirovsiienko@example.com
Чабан,Пантелеймон,Станіславович,Чоловік,29.04.1958,Електротехнік,місто Харцизьк,"набережна Нова, буд. 02, Берислав, 15314",+380 76 752-22-88,boryslav84@example.net
Ґерета,Роман,Романович,Чоловік,13.03.1994,Електромонтажник,селище Теребовля,"набережна Аполона Скальковського, буд. 35, Луцьк, 02880",+380 98 241 45 37,olehderhach@example.net
Овсієнко,Марина,Омелянівна,Жінка,12.04.1979,Хореограф,селище Сіверськ,"провулок Пісочна, буд. 1 кв. 4, Скадовськ, 93328",027 346 66 14,zakusyloklavdiia@example.net
Масляк,Борис,Богодарович,Чоловік,25.06.1996,Соціолог,хутір Кипуче,"площа Змієнка Всеволода, буд. 20, Армянськ, 69523",+380 06 795-86-45,ltytarenko@example.com
Карпа,Степан,Левкович,Чоловік,25.05.1956,Акушер,місто Сімферополь,"парк Богуна, буд. 558 кв. 028, Здолбунів, 49080",+380 72 653-97-02,esvyrydenko@example.com
Баштан,Марта,Зорянівна,Жінка,05.10.1964,Музикознавець,хутір Голубівка,"площа Купріна, буд. 147, Підгайці, 28295",+380 82 537 03 47,havrylo23@example.com
Андрієнко,Охрім,Федірович,Чоловік,26.06.1966,Дипломат,село Новий Буг,"провулок Косий, буд. 625 кв. 838, Скадовськ, 03499",+380 48 449-03-95,myronsalii@example.com
Захаренко,Одарка,Гордіївна,Жінка,17.03.1976,Гицель,селище Галич,"сквер Соляний 4-й, буд. 936, Моршин, 57479",+380 52 939-28-59,karpenkofrants@example.com
Полтавець,Аніта,Семенівна,Жінка,06.07.1987,Музикознавець,місто Овруч,"сквер Геранієва, буд. 56 кв. 790, Бібрка, 25962",045 442 29 40,les78@example.net
Рудик,Ростислав,Юхимович,Чоловік,14.10.1943,Художник,село Горішні Плавні,"вулиця Поперечний, буд. 98 кв. 02, Бердянськ, 53758",883-28-51,vartemenko@example.com
Байрак,Аніта,Георгіївна,Жінка,17.08.1942,Локсмайстер,село Бахмач,"шосе Сінна, буд. 3, Апостолове, 27809",085 974 71 15,svitlanamykytiuk@example.com
Даньків,Маруся,Романівна,Жінка,23.05.1972,Адвокат,хутір Попасна,"провулок Успенська, буд. 298, Токмак, 31986",869-16-03,frantsudovenko@example.org
Ніколюк,Богдан,Ілляович,Чоловік,27.07.1988,Редактор,селище Марганець ,"узвіз Чернігівська, буд. 134 кв. 0, Гірник , 66061",+380 13 457 45 34,ysuprunenko@example.com
Кащенко,Тереза,Орестівна,Жінка,07.12.1993,Складальник,місто Старий Самбір,"парк Дністровська, буд. 010 кв. 837, Костопіль, 41969",+380 11 651-57-78,xivanychuk@example.org
Байрак,Омелян,Прохірович,Чоловік,04.06.1961,Фермер,хутір Могилів-Подільський,"вулиця Покровський, буд. 074, Мелітополь, 46453",+380 06 369 22 57,lokhrimenko@example.net
Устенко,Одарка,Адамівна,Жінка,18.04.1948,Краєзнавець,село Новоселиця,"набережна Прибережний, буд. 27, Єнакієве, 31060",+380 (54) 424-06-05,halyna35@example.com
Андрієнко,Орест,Юстимович,Чоловік,11.04.2005,Складальник,місто Нова Одеса,"набережна Гастелло, буд. 517 кв. 883, Городок, 42064",030 626-22-33,klyment48@example.org
Єщенко,Андрій,Олегович,Чоловік,09.02.1946,Візажист,село Курахове,"сквер Першотравневий 1-й, буд. 9, Кадіївка, 68737",005 320-35-76,zmazepa@example.com
Ващук,Віра,Васильівна,Жінка,19.03.1942,Різноробочий,село Верхівцеве,"парк Куниці, буд. 3 кв. 7, Біла Церква, 27232",+380 44 677-65-53,adahavryliv@example.com
Шинкаренко,Розалія,Геннадіївна,Жінка,25.10.1985,Кінолог,місто Судова Вишня,"сквер 15-та Суворовська, буд. 7, Радехів, 03453",+380 07 782 58 86,bbevzenko@example.com
Щорс,Остап,Антонович,Чоловік,01.10.1973,Архітектор,село Середина-Буда,"узвіз Якірний, буд. 894 кв. 98, Нетішин, 23176",004 054 44 03,vadymnikoliuk@example.org
Сімашкевич,Едита,Сергіївна,Жінка,23.01.2004,Хореограф,село Нікополь,"парк Топольського, буд. 39, Сміла, 41242",301-07-45,myronaleksiuk@example.org
Рябченко,Вʼячеслав,Олесьович,Чоловік,15.03.1942,Маркетолог,хутір Новоукраїнка,"провулок Озерна, буд. 854 кв. 0, Нетішин, 17428",029 592-44-92,stanislavbazylevskyi@example.net
Романчук,Варвара,Лукʼянівна,Жінка,31.01.1978,Педагог,село Липовець,"узвіз Шовкуненка, буд. 9 кв. 58, Мелітополь, 24225",021 902 36 27,prytulaoleksa@example.com
Деркач,Златослава,Олексївна,Жінка,21.03.1990,Клоун,місто Вашківці,"парк Балтський 2-й, буд. 5 кв. 1, Теребовля, 86237",+380 25 294 02 44,leon72@example.net
Абрамчук,Андрій,Євгенович,Чоловік,09.10.1976,Менеджер,село Радехів,"парк Лінія 42-га, буд. 24 кв. 95, Яготин, 75896",+380 02 843 07 52,hannataran@example.com
Андрощук,Алла,Федірівна,Жінка,09.06.1966,Слідчий,місто Жовті Води,"вулиця Ракетна, буд. 80 кв. 61, Алмазна, 18597",+380 90 881 23 11,upavlenko@example.net
Іванченко,Людмила,Адамівна,Жінка,07.07.1951,Публіцист,місто Боково-Хрустальне,"вулиця Торгова, буд. 91 кв. 31, Сімферополь, 44711",+380 78 426-40-45,hlibstets@example.com
Дутка,Емілія,Валентинівна,Жінка,12.02.1970,Секретар,місто Мостиська,"площа Лінія 46-та, буд. 6 кв. 750, Кременчук, 57518",+380 80 418-01-18,ivanchenkohordii@example.com
Франчук,Зиновій,Спасович,Чоловік,22.08.1944,Епідеміолог,селище Болград,"вулиця Любашівський, буд. 2, Заводське, 74930",086 988 55 90,khrystynaartym@example.org
Рябошапка,Арсен,Климентович,Чоловік,03.05.1940,Програміст,селище Синельникове,"провулок Штурвальна, буд. 4 кв. 60, Вільнянськ, 21831",053 314 15 99,pylyp28@example.net
Швайка,Любов,Миронівна,Жінка,14.08.1969,Архітектор,місто Березань ,"парк Дунаєвського, буд. 57 кв. 7, Мукачево, 96477",006 343-49-76,kozachenkoviacheslav@example.org
Аверченко,Ліза,Єлисеївна,Жінка,02.03.1942,Шериф,місто Сколе,"набережна Поїзна, буд. 1 кв. 8, Сватове, 45036",537 96 11,odakhno@example.org
Усик,Ярина,Федірівна,Жінка,15.11.1991,Бібліограф,селище Селидове,"проспект Хутірська, буд. 35 кв. 822, Куп'янськ, 81636",+380 02 899-83-64,varfolomii61@example.net
Венгринович,Пантелеймон,Миронович,Чоловік,04.10.1952,Гірничий інженер,селище Пустомити,"вулиця Більшовицький, буд. 08, Святогірськ, 68578",065 415-47-34,makarenkozlatoslava@example.net
Онищенко,Леон,Костянтинович,Чоловік,09.10.1958,Антрополог,хутір Батурин,"набережна Розкидайлівська, буд. 645 кв. 490, Батурин, 01780",021 490-41-40,zhurbabohodar@example.net
Чумак,Аркадій,Феофанович,Чоловік,17.06.1958,Громадський діяч,село Жовті Води,"вулиця Благовидової, буд. 0, Суми, 99961",+380 73 683-54-37,kbabarychenko@example.org
Девдюк,Богуслав,Ігорович,Чоловік,26.11.1942,Професор,селище Городок,"шосе Сосюри, буд. 557 кв. 263, Виноградів, 30166",+380 74 115 46 06,martyn88@example.org
Швачко,Любов,Парменівна,Жінка,15.06.1976,Лікар,хутір Берегове,"площа Дем’янова, буд. 42 кв. 1, Ізяслав, 09738",000 359-44-36,jsavenko@example.org
Бабко,Вадим,Демидович,Чоловік,14.03.2006,Публіцист,місто Рівне,"площа Суднобудівна, буд. 12 кв. 670, Судова Вишня, 66291",+380 (43) 629-53-84,frants24@example.com
Міщенко,Богодар,Прохірович,Чоловік,26.05.1988,Швачка,селище Носівка,"парк Амбулаторна, буд. 675, Луганськ, 16647",+380 (70) 067-39-98,furshryhorii@example.org
Данилюк,Соломія,Геннадіївна,Жінка,22.07.1997,Історик,селище Зборів,"площа Каспійський, буд. 6, Белз, 79143",424-43-04,uoliinyk@example.org
Бабич,Єва,Святославівна,Жінка,25.07.1979,Ґрунтознавець,хутір Дружба ,"сквер Ширшова, буд. 66, Алупка, 35535",090 43 37,danchukvenedykt@example.org
Макаренко,Ярослав,Климентович,Чоловік,28.06.1948,Електрослюсар,хутір Карлівка,"проспект Сімферопольська, буд. 689, Кривий Ріг, 36058",+380 (80) 475-98-85,dhaivoronskyi@example.net
Скоробогатько,Марина,Ааронівна,Жінка,22.03.1950,Бібліотекар,місто Монастириська,"узвіз Кавказька, буд. 417 кв. 853, Березівка, 39888",+380 (19) 210-22-70,zynoviidankevych@example.org
Чайка,Алевтин,Сергійович,Чоловік,13.09.1995,Льотчик,село Ямпіль,"сквер Єліна, буд. 71, Новогродівка, 15839",039 089 53 47,rvelychko@example.net
Андрійович,Болеслав,Васильович,Чоловік,31.05.1974,Акушер,місто Новоград-Волинський,"вулиця 19-та Лінія, буд. 1 кв. 40, Новоазовськ, 96687",861 75 41,erika65@example.org
Габелко,Федір,Андрійович,Чоловік,19.09.2003,Лікар,селище Миргород,"провулок Красних Зорь, буд. 889 кв. 32, Сорокине, 79857",927-82-93,iveres@example.net
Верхола,Ганна,Бориславівна,Жінка,05.06.1956,Ботанік,селище Василівка ,"провулок Наявний 6-й, буд. 3, Луцьк, 65406",017 679 87 56,lzubko@example.com
Данильчук,Віра,Миронівна,Жінка,09.11.1968,Євнух,селище Кодима,"шосе Проїзний 1-й, буд. 0, Южне, 40361",+380 82 606 44 58,anzhelalupii@example.com
Талан,Пріска,Болеславівна,Жінка,06.03.2007,Євнух,село Володимир-Волинський,"вулиця Аеродромний 2-й, буд. 1 кв. 853, Новий Калинів, 21349",837 69 06,zorian70@example.net
Алексюк,Арсен,Хомаович,Чоловік,23.08.1960,Фармацевт,селище Заставна,"сквер Пілотна, буд. 47 кв. 010, Семенівка, 06351",091 844 71 25,kzabara@example.org
Мазур,Максим,Владиславович,Чоловік,11.07.1943,Геофізик,село Теплодар,"проспект Магнітогорський 3-й, буд. 712 кв. 816, Івано-Франківськ, 45495",032 845-82-41,shyianiefrem@example.org
Тичина,Златослава,Вʼячеславівна,Жінка,06.05.2005,Гицель,місто Ровеньки,"провулок Аполона Скальковського, буд. 254, Деражня, 71993",038 690-91-50,adamkhomyk@example.com
Ейбоженко,Орест,Георгійович,Чоловік,05.05.2008,Редактор,село Залізне,"площа Верф’яний, буд. 74, Сокиряни, 94078",083 014-83-19,sviatoslavazhuk@example.org
Коваленко,Прохір,Петрович,Чоловік,10.03.1981,Різноробочий,селище Кам'янка (Черкаська область),"парк Агрономічна, буд. 3 кв. 893, Алупка, 91745",+380 35 395 58 15,martazabarnyi@example.org
Дейнеко,Устим,Романович,Чоловік,15.05.2007,Машиніст,місто Шостка,"площа Шевченка, буд. 98 кв. 2, Першотравенськ, 16270",+380 55 617 84 87,ndrobakha@example.com
Вітрук,Валентина,Єфремівна,Жінка,24.11.1977,Випробувач,хутір Вараш,"шосе Харківська, буд. 220 кв. 9, Ізяслав, 58624",099 281-34-81,havrylo37@example.com
